1	I	0	13881
2	B	33	534
3	B	67	523
4	P	100	656
5	B	133	544
6	B	167	533
7	P	200	734
8	B	233	521
9	B	267	511
10	P	300	676
11	B	333	538
12	B	367	520
13	I	400	14360
14	B	433	511
15	B	467	494
16	P	500	729
17	B	533	515
18	B	567	511
19	P	600	811
20	B	633	507
21	B	667	501
22	P	700	723
23	B	733	517
24	B	767	533
25	I	800	14754
26	B	833	509
27	B	867	489
28	P	900	751
29	B	933	510
30	B	967	509
31	P	1000	835
32	B	1033	517
33	B	1067	509
34	P	1100	739
35	B	1133	523
36	B	1167	547
37	I	1200	15042
38	B	1233	508
39	B	1267	500
40	P	1300	776
41	B	1333	516
42	B	1367	518
43	P	1400	870
44	B	1433	508
45	B	1467	514
46	P	1500	789
47	B	1533	535
48	B	1567	570
49	I	1600	15315
50	B	1633	484
51	B	1667	484
52	P	1700	627
53	B	1733	468
54	B	1767	468
55	P	1800	478
56	B	1833	468
57	B	1867	468
58	P	1900	471
59	B	1933	559
60	B	1967	567
61	I	2000	15323
62	B	2033	501
63	B	2067	504
64	P	2100	637
65	B	2133	470
66	B	2167	470
67	P	2200	484
68	B	2233	468
69	B	2267	468
70	P	2300	468
71	B	2333	523
72	B	2367	524
73	I	2400	15325
74	B	2433	501
75	B	2467	504
76	P	2500	642
77	B	2533	474
78	B	2567	474
79	P	2600	475
80	B	2633	468
81	B	2667	468
82	P	2700	468
83	B	2733	522
84	B	2767	522
85	I	2800	15328
86	B	2833	497
87	B	2867	497
88	P	2900	641
89	B	2933	474
90	B	2967	474
91	P	3000	478
92	B	3033	468
93	B	3067	468
94	P	3100	468
95	B	3133	525
96	B	3167	525
97	I	3200	15328
98	B	3233	495
99	B	3267	495
100	P	3300	637
101	B	3333	474
102	B	3367	483
103	P	3400	478
104	B	3433	468
105	B	3467	468
106	P	3500	468
107	B	3533	524
108	B	3567	523
109	I	3600	15329
110	B	3633	497
111	B	3667	497
112	P	3700	642
113	B	3733	474
114	B	3767	474
115	P	3800	473
116	B	3833	468
117	B	3867	480
118	P	3900	476
119	B	3933	512
120	B	3967	512
121	I	4000	15326
122	B	4033	490
123	B	4067	490
124	P	4100	653
125	B	4133	474
126	B	4167	474
127	P	4200	485
128	B	4233	468
129	B	4267	468
130	P	4300	468
131	B	4333	532
132	B	4367	527
133	I	4400	15328
134	B	4433	486
135	B	4467	486
136	P	4500	643
137	B	4533	474
138	B	4567	474
139	P	4600	475
140	B	4633	470
141	B	4667	470
142	P	4700	485
143	B	4733	510
144	B	4767	510
145	I	4800	15323
146	B	4833	498
147	B	4867	490
148	P	4900	661
149	B	4933	474
150	B	4967	474
151	P	5000	493
152	B	5033	468
153	B	5067	468
154	P	5100	468
155	B	5133	501
156	B	5167	523
157	I	5200	15300
158	B	5233	588
159	B	5267	533
160	P	5300	695
161	B	5333	512
162	B	5367	522
163	P	5400	739
164	B	5433	503
165	B	5467	492
166	P	5500	678
167	B	5533	481
168	B	5567	509
169	I	5600	15021
170	B	5633	593
171	B	5667	544
172	P	5700	652
173	B	5733	505
174	B	5767	542
175	P	5800	762
176	B	5833	497
177	B	5867	502
178	P	5900	681
179	B	5933	491
180	B	5967	515
181	I	6000	14702
182	B	6033	528
183	B	6067	510
184	P	6100	620
185	B	6133	517
186	B	6167	519
187	P	6200	750
188	B	6233	507
189	B	6267	515
190	P	6300	679
